  code   ,rgb             ,hex    ,name
  10120 C,"rgb(181,159,74) ",#B59F4A,    
  10121 C,"rgb(186,155,55) ",#BA9B37,    
  10122 C,"rgb(191,151,36) ",#BF9724,    
  10123 C,"rgb(200,148,3)  ",#C89403,    
  10124 C,"rgb(170,162,117)",#AAA275,    
  10125 C,"rgb(171,157,98) ",#AB9D62,    
  10126 C,"rgb(172,151,81) ",#AC9751,    
  10127 C,"rgb(174,145,66) ",#AE9142,    
  10128 C,"rgb(178,139,51) ",#B28B33,    
  10129 C,"rgb(185,133,36) ",#B98524,    
  10130 C,"rgb(178,144,112)",#B29070,    
  10131 C,"rgb(176,133,92) ",#B0855C,    
  10132 C,"rgb(176,124,76) ",#B07C4C,    
  10133 C,"rgb(172,114,59) ",#AC723B,    
  10134 C,"rgb(168,105,46) ",#A8692E,    
  10135 C,"rgb(166,98,33)  ",#A66221,    
  10136 C,"rgb(174,155,137)",#AE9B89,    
  10137 C,"rgb(174,143,114)",#AE8F72,    
  10138 C,"rgb(172,131,94) ",#AC835E,    
  10139 C,"rgb(169,121,77) ",#A9794D,    
  10140 C,"rgb(167,112,64) ",#A77040,    
  10141 C,"rgb(162,102,50) ",#A26632,    
  10142 C,"rgb(183,142,108)",#B78E6C,    
  10143 C,"rgb(187,132,89) ",#BB8459,    
  10144 C,"rgb(190,122,71) ",#BE7A47,    
  10145 C,"rgb(194,114,55) ",#C27237,    
  10146 C,"rgb(197,105,38) ",#C56926,    
  10147 C,"rgb(201,97,21)  ",#C96115,    
  10148 C,"rgb(185,135,123)",#B9877B,    
  10149 C,"rgb(188,123,106)",#BC7B6A,    
  10150 C,"rgb(190,110,88) ",#BE6E58,    
  10151 C,"rgb(192,100,72) ",#C06448,    
  10152 C,"rgb(196,91,57)  ",#C45B39,    
  10153 C,"rgb(201,82,42)  ",#C9522A,    
  10154 C,"rgb(174,150,144)",#AE9690,    
  10155 C,"rgb(175,134,124)",#AF867C,    
  10156 C,"rgb(176,119,108)",#B0776C,    
  10157 C,"rgb(175,105,91) ",#AF695B,    
  10158 C,"rgb(176,91,77)  ",#B05B4D,    
  10159 C,"rgb(178,79,65)  ",#B24F41,    
  10160 C,"rgb(185,126,144)",#B97E90,    
  10161 C,"rgb(187,111,130)",#BB6F82,    
  10162 C,"rgb(189,96,116) ",#BD6074,    
  10163 C,"rgb(190,84,102) ",#BE5466,    
  10164 C,"rgb(193,75,88)  ",#C14B58,    
  10165 C,"rgb(197,65,73)  ",#C54149,    
  10166 C,"rgb(178,123,147)",#B27B93,    
  10167 C,"rgb(179,107,136)",#B36B88,    
  10168 C,"rgb(180,90,124) ",#B45A7C,    
  10169 C,"rgb(180,75,112) ",#B44B70,    
  10170 C,"rgb(180,61,99)  ",#B43D63,    
  10171 C,"rgb(183,45,84)  ",#B72D54,    
  10172 C,"rgb(165,125,156)",#A57D9C,    
  10173 C,"rgb(165,109,149)",#A56D95,    
  10174 C,"rgb(165,95,140) ",#A55F8C,    
  10175 C,"rgb(164,80,131) ",#A45083,    
  10176 C,"rgb(166,66,121) ",#A64279,    
  10177 C,"rgb(170,50,111) ",#AA326F,    
  10178 C,"rgb(176,139,163)",#B08BA3,    
  10179 C,"rgb(175,125,157)",#AF7D9D,    
  10180 C,"rgb(176,112,151)",#B07097,    
  10181 C,"rgb(176,98,143) ",#B0628F,    
  10182 C,"rgb(177,84,135) ",#B15487,    
  10183 C,"rgb(181,70,128) ",#B54680,    
  10184 C,"rgb(173,144,169)",#AD90A9,    
  10185 C,"rgb(174,131,166)",#AE83A6,    
  10186 C,"rgb(173,117,160)",#AD75A0,    
  10187 C,"rgb(173,104,156)",#AD689C,    
  10188 C,"rgb(175,91,151) ",#AF5B97,    
  10189 C,"rgb(177,77,146) ",#B14D92,    
  10190 C,"rgb(158,149,157)",#9E959D,    
  10191 C,"rgb(149,134,145)",#958691,    
  10192 C,"rgb(140,120,133)",#8C7885,    
  10193 C,"rgb(131,106,122)",#836A7A,    
  10194 C,"rgb(121,92,110) ",#795C6E,    
  10195 C,"rgb(110,78,96)  ",#6E4E60,    
  10196 C,"rgb(164,144,166)",#A490A6,    
  10197 C,"rgb(161,125,158)",#A17D9E,    
  10198 C,"rgb(157,107,149)",#9D6B95,    
  10199 C,"rgb(153,92,140) ",#995C8C,    
  10200 C,"rgb(151,77,132) ",#974D84,    
  10201 C,"rgb(147,63,122) ",#933F7A,    
  10202 C,"rgb(156,126,158)",#9C7E9E,    
  10203 C,"rgb(149,109,149)",#956D95,    
  10204 C,"rgb(144,95,142) ",#905F8E,    
  10205 C,"rgb(137,80,132) ",#895084,    
  10206 C,"rgb(131,67,123) ",#83437B,    
  10207 C,"rgb(125,53,113) ",#7D3571,    
  10208 C,"rgb(163,139,168)",#A38BA8,    
  10209 C,"rgb(159,124,164)",#9F7CA4,    
  10210 C,"rgb(153,110,159)",#996E9F,    
  10211 C,"rgb(148,96,154) ",#94609A,    
  10212 C,"rgb(144,83,150) ",#905396,    
  10213 C,"rgb(138,68,144) ",#8A4490,    
  10214 C,"rgb(144,125,166)",#907DA6,    
  10215 C,"rgb(133,108,162)",#856CA2,    
  10216 C,"rgb(123,93,157) ",#7B5D9D,    
  10217 C,"rgb(112,77,151) ",#704D97,    
  10218 C,"rgb(101,61,145) ",#653D91,    
